"Json_ID","Size","McCabe","Readability","#Revisions"
"59503.json","6","2","0.8322925567626953","1"
"77363.json","11","2","0.5488327145576477","4"
"1712.json","5","1","0.5706744194030762","2"
"59042.json","11","6","0.15877193212509155","4"
"38091.json","15","1","0.0","4"
"11622.json","6","1","0.014635487459599972","8"
"50581.json","4","1","0.3531748950481415","3"
"56675.json","4","1","0.3844487965106964","1"
"79933.json","1","1","0.6583154201507568","4"
"65227.json","3","1","0.26062050461769104","1"
"1147.json","3","1","0.6356939077377319","3"
"27594.json","3","1","0.5325083136558533","8"
"41656.json","3","1","0.44579559564590454","2"
"27426.json","3","1","0.8946651816368103","4"
"34471.json","6","2","0.1927659511566162","4"
"40097.json","4","1","0.7384066581726074","1"
"25327.json","3","1","0.5219268202781677","1"
"18962.json","1","1","0.683506429195404","3"
"61488.json","14","3","0.09314990788698196","1"
"31825.json","3","1","0.5410295128822327","2"
"30245.json","7","3","0.25508564710617065","1"
"1965.json","3","1","0.5851373672485352","1"
"48876.json","3","1","0.3323131799697876","3"
"60698.json","3","1","0.6530044078826904","5"
"51660.json","3","1","0.0","3"
"28384.json","22","5","5.901529802940786E-4","2"
"41991.json","6","2","0.5199140906333923","6"
"58903.json","4","1","0.7271217107772827","5"
"67921.json","3","1","0.6522737145423889","1"
"53884.json","3","1","0.0100548742339015","1"
"8875.json","23","1","0.0","13"
"19497.json","30","7","0.007541482802480459","2"
"81216.json","5","1","0.6473459601402283","4"
"67881.json","14","4","0.005752510391175747","1"
"22805.json","3","1","0.6697373390197754","3"
"46463.json","3","1","0.4286264181137085","3"
"2999.json","5","1","0.7339450716972351","1"
"54475.json","3","1","0.011529617942869663","1"
"34461.json","3","1","0.2800893187522888","2"
"47597.json","4","1","0.40276193618774414","3"
"37869.json","3","1","0.6180086135864258","1"
"45299.json","3","1","0.8704075813293457","1"
"47314.json","3","1","0.4428040087223053","3"
"27671.json","3","1","0.459159791469574","1"
"18082.json","4","1","0.8780062198638916","1"
"9944.json","3","1","0.8171085715293884","2"
"30558.json","3","1","0.6333374977111816","1"
"30401.json","4","1","0.40630295872688293","1"
"39350.json","30","3","2.886277507059276E-4","2"
"17557.json","8","2","0.09638381749391556","2"
"39925.json","4","1","0.3864457607269287","2"
"8595.json","11","2","0.0048842946998775005","8"
"71522.json","40","8","3.823846345767379E-4","4"
"9792.json","4","1","0.6803070306777954","2"
"69159.json","3","1","0.14884796738624573","4"
"32377.json","4","1","0.05864107608795166","1"
"61296.json","4","1","0.36339807510375977","4"
"27292.json","37","4","0.0","14"
"18478.json","5","1","0.3939439654350281","4"
"60458.json","8","2","0.1645289808511734","4"
"80408.json","31","4","0.021898968145251274","7"
"9787.json","3","1","0.9054006934165955","2"
"79492.json","8","2","0.7176786065101624","4"
"83343.json","3","1","0.4171985983848572","2"
"80113.json","5","1","0.7544916868209839","4"
"32901.json","5","1","0.21263431012630463","1"
"69138.json","36","6","2.0244592451490462E-4","4"
"33018.json","8","2","0.031503189355134964","4"
"37141.json","9","2","0.09718672186136246","1"
"56342.json","3","1","0.01089057419449091","1"
"8825.json","6","2","0.47594910860061646","1"
"82034.json","4","1","0.02305455692112446","1"
"35464.json","5","2","0.592984676361084","1"
"60327.json","6","2","0.23413538932800293","1"
"61140.json","4","1","0.537479043006897","4"
"30799.json","3","1","0.661552906036377","1"
"25696.json","1","1","0.9982732534408569","2"
"12250.json","3","1","0.9002125263214111","1"
"7204.json","4","1","0.1699398159980774","1"
"74197.json","4","1","0.04956519603729248","1"
"46410.json","3","1","0.31149592995643616","3"
"74592.json","21","4","1.824112405302003E-4","1"
"75215.json","3","1","0.41590115427970886","1"
"82064.json","7","3","0.40413811802864075","1"
"60035.json","3","1","0.7979881763458252","2"
"76772.json","10","3","0.3890310227870941","7"
"50829.json","4","1","0.3844487965106964","3"
"33819.json","3","1","0.7836290001869202","1"
"19843.json","1","1","0.5648720860481262","3"
"61288.json","3","1","0.6543203592300415","2"
"82203.json","33","9","0.0024302913807332516","1"
"64355.json","3","1","0.004532489459961653","1"
"3227.json","5","1","0.13375242054462433","3"
"15900.json","11","3","0.20318640768527985","1"
"55429.json","4","1","0.40276193618774414","1"
"49146.json","3","1","0.009874285198748112","3"
"74418.json","3","1","0.5023596286773682","1"
"34733.json","13","3","0.015116102993488312","2"
"986.json","3","1","0.8850260376930237","1"
"7892.json","3","1","0.7743498682975769","3"
"4120.json","3","1","0.3450537621974945","1"
"43783.json","16","1","0.011725911870598793","3"
"63721.json","3","1","0.5395836234092712","1"
"60562.json","6","2","0.2786525785923004","1"
"72305.json","3","1","0.3577945828437805","1"
"69303.json","7","1","0.061663929373025894","4"
"60316.json","3","1","0.6543203592300415","1"
"12998.json","3","1","0.4326840937137604","8"
"59322.json","7","2","0.6781838536262512","5"
"18115.json","3","1","0.14148160815238953","2"
"37407.json","21","3","1.3866930385120213E-4","4"
"30021.json","6","1","0.3831123411655426","2"
"58798.json","3","1","0.6543203592300415","2"
"64185.json","15","3","0.004784946329891682","1"
"50664.json","3","1","0.009123271331191063","3"
"51169.json","4","1","0.3531748950481415","3"
"6895.json","3","1","0.7068206071853638","2"
"20059.json","9","2","0.17804446816444397","3"
"63273.json","21","4","0.005756449420005083","6"
"58550.json","17","5","0.017423035576939583","1"
"53040.json","4","1","0.3575432598590851","1"
"58188.json","3","1","0.954874575138092","2"
"70327.json","3","1","0.8582584857940674","1"
"6194.json","6","2","0.8686835169792175","3"
"31144.json","11","1","0.0014129243791103363","1"
"70709.json","7","1","0.6441464424133301","2"
"72577.json","3","1","0.8989652395248413","1"
"2066.json","7","1","0.031936801970005035","1"
"82623.json","4","1","0.09507212042808533","3"
"57778.json","3","1","0.2787151038646698","1"
"43830.json","20","3","0.006936753634363413","1"
"27579.json","3","1","0.3221645951271057","4"
"21758.json","3","1","0.7415053248405457","3"
"486.json","8","3","0.1578044444322586","6"
"867.json","22","4","0.0018109839875251055","1"
"56382.json","3","1","0.3244161009788513","1"
"39689.json","13","2","0.021194305270910263","10"
"13537.json","24","3","0.09015301614999771","1"
"66312.json","26","1","0.0029203540179878473","1"
"48604.json","4","1","0.3401153087615967","3"
"74244.json","3","1","0.613776683807373","1"
"61605.json","6","2","0.0075848763808608055","1"
"5773.json","10","3","0.05256791040301323","7"
"69251.json","3","1","0.2792361080646515","4"
"27232.json","19","4","3.347329911775887E-4","3"
"69180.json","4","1","0.7208265066146851","4"
"37489.json","22","4","0.001322879339568317","1"
"75423.json","35","7","3.813530784100294E-4","9"
"60807.json","3","1","0.8413127660751343","2"
"71197.json","2","1","0.9962780475616455","1"
"69701.json","13","3","0.39970090985298157","1"
"63954.json","24","4","0.010273021645843983","1"
"35533.json","8","2","0.03289290517568588","1"
"50907.json","3","1","0.009123271331191063","3"
"76954.json","15","2","0.03893190249800682","1"
"39225.json","9","2","0.028049102053046227","1"
"65526.json","3","1","0.7427436113357544","1"
"76074.json","7","2","0.666243851184845","4"
"83433.json","3","1","0.9002666473388672","2"
"51149.json","3","1","0.3249516785144806","3"
"36895.json","9","1","0.3345734477043152","3"
"22866.json","3","1","0.5633459091186523","3"
"70396.json","19","5","0.0025974679738283157","10"
"56141.json","4","1","0.40276193618774414","1"
"45860.json","3","1","0.6034468412399292","1"
"10070.json","1","1","0.9594992995262146","2"
"25771.json","30","4","0.0","7"
"48630.json","4","1","0.10780538618564606","3"
"21840.json","9","2","0.01037911232560873","2"
"30896.json","19","4","3.219017235096544E-4","1"
"5072.json","14","2","0.007734587881714106","4"
"69558.json","3","1","0.8324922323226929","1"
"59948.json","3","1","0.6543203592300415","1"
"71588.json","10","2","0.36542463302612305","2"
"4748.json","20","3","0.0","6"
"38422.json","5","1","0.5620591044425964","1"
"71868.json","3","1","0.5023091435432434","1"
"57567.json","3","1","0.0","1"
"203.json","20","5","0.04669785127043724","3"
"59453.json","5","2","0.5319932699203491","1"
"38458.json","3","1","0.894565224647522","1"
"69120.json","15","2","8.732768474146724E-4","4"
"58961.json","7","3","0.7530027627944946","1"
"28312.json","26","2","0.001472452306188643","1"
"35407.json","12","3","0.03874170407652855","1"
"24398.json","4","1","0.15588633716106415","2"
"28504.json","4","1","0.15128743648529053","1"
"74054.json","11","1","0.009712605737149715","2"
"30949.json","12","3","0.037146326154470444","3"
"17195.json","3","1","0.6620852947235107","1"
"7251.json","3","1","0.316841721534729","1"
"54672.json","3","1","0.011078791692852974","1"
"13287.json","4","1","0.6354772448539734","7"
"21021.json","4","1","0.7114855647087097","3"
"64093.json","12","3","0.03875088319182396","1"
"43983.json","3","1","0.48290371894836426","3"
"70542.json","3","1","0.4218410849571228","2"
"6668.json","3","1","0.7102911472320557","16"
"18085.json","3","1","0.30882808566093445","2"
"73631.json","3","1","0.8934021592140198","1"
"2721.json","7","3","0.28357189893722534","5"
"10210.json","19","2","0.011690855957567692","4"
"45120.json","3","1","0.457220196723938","2"
"8333.json","3","1","0.23267138004302979","4"
"13846.json","10","2","1.6125915863085538E-4","1"
"61100.json","1","1","0.9816501140594482","5"
"7443.json","4","1","0.013029159978032112","13"
"37730.json","3","1","0.8329164385795593","1"
"33035.json","36","9","2.560401917435229E-4","1"
"12874.json","7","2","0.7051907181739807","3"
"42928.json","36","8","1.2373387289699167E-4","1"
"6450.json","4","1","0.7471815347671509","3"
"35911.json","4","1","0.4683620035648346","1"
"19356.json","3","1","0.8495403528213501","3"
"37855.json","3","1","0.8347452282905579","1"
"8542.json","3","1","0.8809243440628052","3"
"74528.json","11","2","0.3254911005496979","5"
"78489.json","3","1","0.21479521691799164","1"
"65037.json","5","1","0.31025394797325134","2"
"63671.json","3","1","0.3056499660015106","1"
"73585.json","27","7","0.0066777789033949375","4"
"27538.json","5","2","0.5300540328025818","1"
"61447.json","10","2","0.4536570608615875","6"
"73584.json","4","1","0.2322167307138443","1"
"16438.json","3","1","0.34423375129699707","2"
"46433.json","3","1","0.4767596423625946","3"
"36457.json","3","1","0.6327915787696838","2"
"35728.json","24","4","0.0","3"
"60604.json","4","1","0.3853684961795807","4"
"8644.json","3","1","0.03895234689116478","2"
"77894.json","23","8","5.771967116743326E-4","1"
"27175.json","5","2","0.48167526721954346","2"
"13134.json","19","3","0.0011354729067534208","1"
"7920.json","3","1","0.1818818747997284","1"
"50968.json","3","1","0.3416403532028198","3"
"7646.json","8","2","0.0595521405339241","1"
"52707.json","4","1","0.26730719208717346","1"
"48690.json","4","1","0.32310962677001953","3"
"79548.json","3","2","0.930517315864563","5"
"36632.json","3","1","0.4425313174724579","1"
"20735.json","3","1","0.7301194667816162","3"
"23873.json","1","1","0.9819809198379517","3"
"64694.json","4","1","0.8060793280601501","2"
"19519.json","1","1","0.9713138937950134","2"
"19839.json","26","5","0.05241544172167778","3"
"20349.json","3","1","0.15362334251403809","1"
"79091.json","3","1","0.7353406548500061","4"
"82997.json","3","1","0.6701836585998535","4"
"7818.json","5","2","0.05370105803012848","4"
"23111.json","3","1","0.6353802680969238","1"
"34099.json","11","2","0.05208607763051987","3"
"35582.json","3","1","0.9153783321380615","1"
"3835.json","4","1","0.6636725068092346","7"
"80950.json","10","3","0.16792447865009308","1"
"69011.json","3","1","0.7161749005317688","5"
"76308.json","4","1","0.6947962045669556","1"
"34462.json","3","1","0.1881956160068512","1"
"61401.json","12","2","0.028124380856752396","1"
"29761.json","37","9","0.0","1"
"8010.json","4","1","0.47847265005111694","1"
"55391.json","3","1","0.3513725996017456","1"
"72451.json","5","1","0.5908000469207764","1"
"13436.json","10","3","0.17720311880111694","1"
"59483.json","6","2","0.8330082893371582","5"
"38054.json","10","3","0.5671827793121338","1"
"33865.json","18","1","0.009413945488631725","1"
"72739.json","3","1","0.61069655418396","1"
"80083.json","13","4","0.4250446856021881","1"
"72889.json","4","1","0.2672659456729889","1"
"35167.json","12","3","0.4780031740665436","3"
"53123.json","3","1","0.011141326278448105","1"
"30152.json","8","2","0.20582185685634613","1"
"2854.json","3","1","0.6371740102767944","1"
"82851.json","3","1","0.09188786149024963","1"
"69549.json","4","2","0.791933000087738","1"
"47609.json","4","1","0.38897138833999634","3"
"27165.json","3","1","0.8695833683013916","1"
"44600.json","44","6","0.0","3"
"51643.json","3","1","0.3260940909385681","3"
"30457.json","24","4","0.0013734785607084632","3"
"78422.json","3","1","0.11756913363933563","1"
"55221.json","4","1","0.42135027050971985","1"
"39451.json","3","1","0.8567590117454529","4"
"11144.json","4","1","0.37463799118995667","1"
"33703.json","6","1","0.7889293432235718","1"
"52987.json","3","1","0.6101151704788208","1"
"54596.json","4","1","0.3401153087615967","1"
"34125.json","3","1","0.6016039252281189","1"
"64176.json","3","1","0.8917453289031982","1"
"77496.json","8","1","0.0025642740074545145","6"
"19564.json","3","1","0.009827788919210434","3"
"25115.json","5","1","0.1136196106672287","11"
"65314.json","3","1","0.510283350944519","1"
"34527.json","4","1","0.5597429275512695","1"
"9206.json","18","3","0.04075613617897034","2"
"37322.json","5","1","0.5480827689170837","1"
"25581.json","3","1","0.8704773783683777","1"
"67134.json","3","1","0.8495352268218994","5"
"48365.json","3","1","0.28359246253967285","3"
"51339.json","3","1","0.3072182238101959","3"
"63957.json","24","4","0.010273021645843983","1"
"17301.json","9","2","0.7725211381912231","1"
"77360.json","4","1","0.004942136351019144","4"
"4452.json","10","2","0.28381380438804626","1"
"10730.json","3","1","0.8407721519470215","1"
"38735.json","3","1","0.6720285415649414","1"
"75934.json","14","3","0.3628382682800293","6"
"36506.json","3","1","0.09790756553411484","1"
"41919.json","7","2","0.9613021016120911","2"
"72865.json","8","1","0.0016319998539984226","3"
"69117.json","27","5","0.0","4"
"49815.json","4","1","0.8148643970489502","3"
"58708.json","3","1","0.004407517611980438","3"
"37080.json","3","1","0.8539924621582031","1"
"3324.json","3","1","0.18398402631282806","7"
"13980.json","3","1","0.9001344442367554","1"
"43511.json","3","1","0.3848920166492462","1"
"61708.json","7","1","0.2517593204975128","2"
"44598.json","12","2","0.008221969939768314","2"
"73318.json","1","1","0.9639616012573242","2"
"2099.json","3","1","0.45678141713142395","2"
"66308.json","3","1","0.5702950358390808","1"
"22730.json","8","2","0.6984705924987793","3"
"39520.json","3","1","0.5779480338096619","1"
"34968.json","5","1","0.8581671714782715","3"
"29182.json","8","2","0.11029933393001556","1"
"42669.json","8","1","0.4019731283187866","5"
"65384.json","6","1","0.016686836257576942","2"
"50763.json","4","1","0.5748708844184875","3"
"12234.json","3","1","0.026846349239349365","1"
"19326.json","3","1","0.5438181757926941","3"
"32709.json","15","4","0.11839631199836731","2"
"60869.json","1","1","0.994580864906311","4"
"68287.json","42","4","9.086545323953032E-4","2"
"4286.json","3","1","0.5237888693809509","4"
"37073.json","8","1","0.29832330346107483","1"
"73761.json","4","2","0.4627523124217987","3"
"56281.json","4","1","0.40276193618774414","1"
"76706.json","3","1","0.776032030582428","1"
"42992.json","28","3","5.105008604004979E-4","1"
"61780.json","23","5","0.0094802500680089","1"
"49723.json","4","1","0.3531748950481415","3"
"51543.json","4","1","0.40276193618774414","3"
"73687.json","1","1","0.9917412400245667","1"
"8128.json","3","1","0.5858024954795837","3"
"14839.json","6","1","0.750996470451355","1"
